region,region_idx,n_ch_all,n_ch_sync,n_exp_all,n_exp_sync,n_sub_all,n_sub_sync,ch_ratio,ch_ratio_ch_sync,ch_ratio_sub_all,ch_ratio_exp_all,exp_all,exp_sync,AAL,BA
RH_DorsAttn_Post_4,70.0,41,3.0,20,3,978.0,191.0,0.07317073170731707,0.2195121951219512,71.5609756097561,1.4634146341463414,"Chen 2020 1, Chen 2020 2, Cheng 2021, Liu Y 2017, Liu J 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2","Chen 2020 2, Lu 2020a, Zhang Y 2020 2",56.13% Parietal_Sup_R; 14.19% Occipital_Sup_R; 13.17% Occipital_Mid_R; 6.31% Angular_R; 5.13% Precuneus_R,73.39% Background; 18.83% Brodmann_area_7; 6.91% Brodmann_area_19
LH_Default_PFC_6,47.0,9,2.0,8,2,308.0,66.0,0.2222222222222222,0.4444444444444444,68.44444444444444,1.7777777777777777,"Balconi 2017, Balconi 2018, Balconi 2019, Chen 2020 1, Chen 2020 2, Fronda & Balconi 2020, Koide & Shimada 2018, Liu T 2017","Balconi 2019, Fronda & Balconi 2020",73.85% Frontal_Mid_2_L; 21.54% Precentral_L,65.38% Background; 18.86% Brodmann_area_8; 14.04% Brodmann_area_6
RH_SomMot_6,64.0,50,3.0,21,2,1022.0,50.0,0.06,0.18,61.32,1.26,"Chen 2020 1, Chen 2020 2, Cheng 2021, Liu T 2017, Liu Y 2017, Liu J 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2","Liu Y 2017, Wang 2019",54.07% Precentral_R; 40.25% Postcentral_R,66.67% Background; 13.64% Brodmann_area_4; 10.04% Brodmann_area_3
LH_SalVentAttn_FrOperIns_2,26.0,4,1.0,3,1,242.0,18.0,0.25,0.25,60.5,0.75,"Liu T 2017, Liu W 2019 , Pan 2021",Pan 2021,64.87% Insula_L; 11.27% Frontal_Inf_Tri_L; 9.59% Rolandic_Oper_L; 8.75% Frontal_Inf_Oper_L,68.94% Background; 24.34% Brodmann_area_13
LH_SomMot_5,14.0,20,4.0,7,4,276.0,166.0,0.2,0.8,55.2,1.4000000000000001,"Canigueral 2021, Koide & Shimada 2018, Liu T 2017, Liu Y 2017, Pan 2020, Zhu 2021 1, Zhu 2021 2","Koide & Shimada 2018, Liu Y 2017, Pan 2020, Zhu 2021 1",55.07% Postcentral_L; 38.06% Precentral_L; 5.18% no_label,65.77% Background; 12.05% Brodmann_area_4; 11.54% Brodmann_area_3
RH_Default_PFCdPFCm_3,98.0,22,2.0,13,1,584.0,32.0,0.09090909090909091,0.18181818181818182,53.09090909090909,1.1818181818181819,"Balconi 2017, Balconi 2018, Balconi 2019, Chen 2020 1, Chen 2020 2, Fronda & Balconi 2020, Liu T 2017, Pan 2017 1, Pan 2017 2, Pan 2017 3, Tang 2016 1, Tang 2016 2, Zhao 2017",Balconi 2019,61.82% Frontal_Sup_2_R; 32.96% Frontal_Mid_2_R,64.95% Background; 20.42% Brodmann_area_8; 12.30% Brodmann_area_6
LH_SomMot_4,13.0,25,2.0,18,2,657.0,44.0,0.08,0.16,52.56,1.44,"Canigueral 2021, Hou 2020, Koide & Shimada 2018, Li Z 2021, Liu N 2016, Liu T 2017, Long 2021a + Long 2021b, Pan 2018 1, Pan 2018 2, Pan 2020, Pan 2021, Quinones-Camacho 2021, Zhang M 2017a + 2017b, Zhao 2021 1, Zhao 2021 2, Zheng 2018 + 2020 1, Zhu 2021 1, Zhu 2021 2","Pan 2021, Quinones-Camacho 2021",73.10% Postcentral_L; 21.03% Precentral_L; 5.60% no_label,61.37% Background; 19.22% Brodmann_area_6; 10.11% Brodmann_area_4; 5.78% Brodmann_area_3
RH_DorsAttn_Post_5,71.0,25,2.0,15,2,606.0,49.0,0.08,0.16,48.480000000000004,1.2,"Chen 2020 1, Chen 2020 2, Cheng 2021, Liu Y 2017, Pan 2017 1, Pan 2017 2, Pan 2017 3, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2","Wang 2019, Zhang Y 2020 1",46.68% Precuneus_R; 31.60% Parietal_Sup_R; 20.29% Postcentral_R,82.35% Background; 15.76% Brodmann_area_7
RH_DorsAttn_Post_3,69.0,19,1.0,17,1,826.0,32.0,0.05263157894736842,0.05263157894736842,43.473684210526315,0.894736842105263,"Chen 2020 1, Chen 2020 2, Cheng 2021, Liu T 2017, Pan 2017 1, Pan 2017 2, Pan 2017 3, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2",Wang 2019,42.84% Parietal_Inf_R; 18.31% Parietal_Sup_R; 13.71% no_label; 9.28% Angular_R; 8.09% SupraMarginal_R; 7.75% Postcentral_R,67.21% Background; 23.08% Brodmann_area_40; 8.01% Brodmann_area_7
RH_Limbic_OFC_1,79.0,4,1.0,4,1,146.0,18.0,0.25,0.25,36.5,1.0,"Chen 2020 1, Chen 2020 2, Liu Y 2017, Pinti 2021",Liu Y 2017,28.24% Rectus_R; 26.67% OFCmed_R; 11.54% no_label; 9.26% OFCpost_R; 7.64% OFCant_R; 6.53% Frontal_Med_Orb_R; 6.28% Olfactory_R,62.70% Background; 24.54% Brodmann_area_11; 7.14% Brodmann_area_47
LH_DorsAttn_Post_3,18.0,8,2.0,4,2,138.0,66.0,0.25,0.5,34.5,1.0,"Liu Y 2017, Pan 2020, Zhu 2021 1, Zhu 2021 2","Liu Y 2017, Pan 2020",48.76% Parietal_Sup_L; 19.47% Occipital_Mid_L; 12.02% Parietal_Inf_L; 6.82% no_label; 6.53% Precuneus_L; 6.41% Occipital_Sup_L,74.75% Background; 17.56% Brodmann_area_7; 5.89% Brodmann_area_19
RH_Default_Temp_2,92.0,4,1.0,4,1,131.0,88.0,0.25,0.25,32.75,1.0,"Hou 2020, Long 2021a + Long 2021b, Pan 2018 1, Pan 2018 2",Long 2021a + Long 2021b,43.90% Temporal_Pole_Sup_R; 20.42% Temporal_Sup_R; 15.81% Temporal_Mid_R; 11.20% Temporal_Pole_Mid_R; 5.69% no_label,57.00% Background; 25.29% Brodmann_area_38; 15.45% Brodmann_area_21
RH_DorsAttn_Post_2,68.0,17,1.0,12,1,534.0,44.0,0.058823529411764705,0.058823529411764705,31.41176470588235,0.7058823529411764,"Chen 2020 1, Chen 2020 2, Cheng 2021, Liu T 2017, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2",Liu T 2017,85.28% Postcentral_R; 11.19% SupraMarginal_R,57.79% Background; 10.95% Brodmann_area_40; 10.22% Brodmann_area_2; 8.03% Brodmann_area_3; 7.42% Brodmann_area_4
LH_Vis_7,7.0,6,1.0,6,1,163.0,48.0,0.16666666666666666,0.16666666666666666,27.166666666666664,1.0,"Hou 2020, Pan 2018 1, Pan 2018 2, Pan 2020, Zhu 2021 1, Zhu 2021 2",Pan 2020,42.60% Temporal_Mid_L; 40.15% Occipital_Mid_L; 16.29% no_label,66.24% Background; 17.25% Brodmann_area_19; 11.82% Brodmann_area_39
LH_SomMot_1,10.0,28,1.0,17,1,747.0,18.0,0.03571428571428571,0.03571428571428571,26.678571428571427,0.6071428571428571,"Canigueral 2021, Hou 2020, Koide & Shimada 2018, Li Z 2021, Liu N 2016, Liu T 2017, Liu W 2019 , Long 2021a + Long 2021b, Pan 2018 1, Pan 2018 2, Pan 2020, Pan 2021, Zhang M 2017a + 2017b, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2",Pan 2021,77.45% Temporal_Sup_L; 6.85% no_label; 6.65% Heschl_L,62.34% Background; 14.57% Brodmann_area_22; 8.92% Brodmann_area_41; 6.85% Brodmann_area_13; 6.05% Brodmann_area_42
RH_SomMot_3,61.0,6,0.0,3,0,254.0,0.0,0.0,0.0,0.0,0.0,"Canigueral 2021, Liu T 2017, Liu W 2019 ",,71.95% Rolandic_Oper_R; 11.05% Postcentral_R; 5.52% Precentral_R; 5.23% Insula_R,62.50% Background; 10.76% Brodmann_area_6; 8.72% Brodmann_area_43; 5.96% Brodmann_area_22
LH_Default_PFC_1,42.0,1,0.0,1,0,62.0,0.0,0.0,0.0,0.0,0.0,Zhang M 2020 + 2021a,,41.47% Insula_L; 22.99% OFCpost_L; 19.61% Frontal_Inf_Orb_2_L; 7.33% Temporal_Pole_Sup_L,71.79% Background; 19.75% Brodmann_area_47; 6.91% Brodmann_area_13
LH_Vis_8,8.0,1,0.0,1,0,48.0,0.0,0.0,0.0,0.0,0.0,Pan 2020,,47.81% Occipital_Mid_L; 34.06% Occipital_Sup_L; 9.79% no_label; 8.02% Cuneus_L,61.12% Background; 27.33% Brodmann_area_19; 10.64% Brodmann_area_18
RH_DorsAttn_FEF_1,73.0,3,0.0,3,0,98.0,0.0,0.0,0.0,0.0,0.0,"Pan 2017 1, Pan 2017 2, Pan 2017 3",,59.76% Frontal_Sup_2_R; 17.39% Precentral_R; 10.72% Frontal_Mid_2_R; 9.87% no_label,63.38% Background; 36.62% Brodmann_area_6
RH_SomMot_2,60.0,1,0.0,1,0,44.0,0.0,0.0,0.0,0.0,0.0,Liu T 2017,,47.12% Rolandic_Oper_R; 42.76% Insula_R; 5.93% no_label,68.41% Background; 28.45% Brodmann_area_13
RH_SomMot_5,63.0,9,0.0,9,0,514.0,0.0,0.0,0.0,0.0,0.0,"Liu T 2017, Liu J 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3",,82.01% Precentral_R; 11.90% Frontal_Mid_2_R,59.26% Background; 24.34% Brodmann_area_4; 8.73% Brodmann_area_6; 7.67% Brodmann_area_3
LH_SomMot_3,12.0,17,0.0,13,0,535.0,0.0,0.0,0.0,0.0,0.0,"Canigueral 2021, Hou 2020, Koide & Shimada 2018, Li Z 2021, Liu T 2017, Liu W 2019 , Pan 2018 1, Pan 2018 2, Pan 2021, Quinones-Camacho 2021, Zhang M 2017a + 2017b, Zhu 2021 1, Zhu 2021 2",,42.35% Rolandic_Oper_L; 26.58% Postcentral_L; 11.09% Temporal_Sup_L; 8.43% SupraMarginal_L,58.11% Background; 7.88% Brodmann_area_6; 6.51% Brodmann_area_13; 6.32% Brodmann_area_43; 5.87% Brodmann_area_22
LH_SomMot_2,11.0,2,0.0,2,0,224.0,0.0,0.0,0.0,0.0,0.0,"Liu T 2017, Liu W 2019 ",,41.75% Rolandic_Oper_L; 36.81% Insula_L; 13.47% Heschl_L; 7.59% no_label,66.98% Background; 29.98% Brodmann_area_13
RH_Cont_PFCl_4,86.0,19,0.0,12,0,971.0,0.0,0.0,0.0,0.0,0.0,"Canigueral 2021, Hou 2020, Liu T 2017, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pinti 2021, Tang 2016 1, Tang 2016 2, Yang 2020",,74.38% Frontal_Mid_2_R; 10.10% Frontal_Inf_Oper_R; 7.42% Precentral_R,65.04% Background; 12.02% Brodmann_area_8; 11.68% Brodmann_area_9; 11.13% Brodmann_area_6
LH_DorsAttn_Post_4,19.0,2,0.0,2,0,108.0,0.0,0.0,0.0,0.0,0.0,"Koide & Shimada 2018, Liu T 2017",,53.76% Postcentral_L; 41.28% Parietal_Inf_L,60.37% Background; 31.38% Brodmann_area_40; 6.61% Brodmann_area_2
LH_SomMot_6,15.0,1,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,Koide & Shimada 2018,,35.94% Paracentral_Lobule_L; 16.23% Postcentral_L; 13.07% Cingulate_Mid_L; 11.43% Supp_Motor_Area_L; 10.72% Precuneus_L; 6.47% Precentral_L,75.41% Background; 10.51% Brodmann_area_6
LH_DorsAttn_FEF_1,23.0,5,0.0,2,0,108.0,0.0,0.0,0.0,0.0,0.0,"Koide & Shimada 2018, Liu T 2017",,40.48% Precentral_L; 38.31% Frontal_Sup_2_L; 9.55% Frontal_Mid_2_L; 6.21% no_label,67.14% Background; 32.63% Brodmann_area_6
LH_Default_PFC_7,48.0,4,0.0,4,0,190.0,0.0,0.0,0.0,0.0,0.0,"Chen 2020 1, Chen 2020 2, Koide & Shimada 2018, Liu T 2017",,52.18% Frontal_Mid_2_L; 45.70% Frontal_Sup_2_L,61.72% Background; 22.26% Brodmann_area_8; 16.02% Brodmann_area_6
LH_SalVentAttn_Med_3,30.0,1,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,Koide & Shimada 2018,,92.43% Supp_Motor_Area_L; 5.38% Frontal_Sup_2_L,67.73% Background; 29.18% Brodmann_area_6
LH_Default_Temp_1,38.0,13,0.0,9,0,437.0,0.0,0.0,0.0,0.0,0.0,"Hou 2020, Liu N 2016, Liu W 2019 , Long 2021a + Long 2021b, Pan 2018 1, Pan 2018 2, Zhang M 2017a + 2017b, Zhu 2021 1, Zhu 2021 2",,54.02% Temporal_Mid_L; 15.85% Temporal_Inf_L; 10.15% Temporal_Sup_L; 9.82% Temporal_Pole_Sup_L; 6.85% Temporal_Pole_Mid_L,65.66% Background; 19.20% Brodmann_area_21; 7.38% Brodmann_area_38; 6.18% Brodmann_area_20
LH_Limbic_TempPole_2,33.0,6,0.0,6,0,133.0,0.0,0.0,0.0,0.0,0.0,"Hou 2020, Liu N 2016, Pan 2018 1, Pan 2018 2, Zhu 2021 1, Zhu 2021 2",,62.28% Temporal_Inf_L; 26.78% Temporal_Mid_L; 10.06% no_label,79.65% Background; 12.57% Brodmann_area_20
LH_DorsAttn_Post_1,16.0,5,0.0,5,0,115.0,0.0,0.0,0.0,0.0,0.0,"Hou 2020, Pan 2018 1, Pan 2018 2, Zhu 2021 1, Zhu 2021 2",,34.36% Temporal_Inf_L; 23.48% Fusiform_L; 16.27% Occipital_Inf_L; 15.39% Temporal_Mid_L; 5.86% no_label,74.45% Background; 15.09% Brodmann_area_37; 6.32% Brodmann_area_19
RH_Vis_4,54.0,9,0.0,9,0,408.0,0.0,0.0,0.0,0.0,0.0,"Cheng 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2",,22.08% Occipital_Inf_R; 20.09% Lingual_R; 17.69% no_label; 13.67% Occipital_Mid_R; 11.69% Calcarine_R; 5.95% Occipital_Sup_R,61.43% Background; 29.44% Brodmann_area_18; 6.58% Brodmann_area_17
LH_DorsAttn_PrCv_1,22.0,13,0.0,8,0,454.0,0.0,0.0,0.0,0.0,0.0,"Canigueral 2021, Koide & Shimada 2018, Liu T 2017, Liu W 2019 , Pan 2021, Zhang M 2020 + 2021a, Zhang M 2021b, Zheng 2018 + 2020 1",,57.11% Precentral_L; 36.31% Frontal_Inf_Oper_L,61.09% Background; 17.07% Brodmann_area_6; 14.47% Brodmann_area_9; 6.41% Brodmann_area_44
RH_Default_Temp_1,91.0,14,0.0,11,0,577.0,0.0,0.0,0.0,0.0,0.0,"Canigueral 2021, Hou 2020, Liu T 2017, Liu J 2019, Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2018 1, Pan 2018 2",,54.41% Temporal_Mid_R; 41.95% Temporal_Inf_R,74.72% Background; 13.30% Brodmann_area_21; 11.29% Brodmann_area_20
RH_SalVentAttn_Med_2,78.0,4,0.0,4,0,118.0,0.0,0.0,0.0,0.0,0.0,"Balconi 2017, Balconi 2018, Balconi 2019, Fronda & Balconi 2020",,57.67% Supp_Motor_Area_R; 33.53% Cingulate_Mid_R,63.40% Background; 19.00% Brodmann_area_6; 8.60% Brodmann_area_32; 8.47% Brodmann_area_24
RH_SomMot_7,65.0,2,0.0,2,0,82.0,0.0,0.0,0.0,0.0,0.0,"Chen 2020 1, Chen 2020 2",,93.64% Postcentral_R,70.27% Background; 14.43% Brodmann_area_5; 6.70% Brodmann_area_2; 5.67% Brodmann_area_40
RH_Cont_pCun_1,89.0,11,0.0,11,0,490.0,0.0,0.0,0.0,0.0,0.0,"Chen 2020 1, Chen 2020 2, Cheng 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2",,79.40% Precuneus_R; 12.62% Cuneus_R,58.54% Background; 38.37% Brodmann_area_7
LH_SalVentAttn_Med_1,28.0,1,0.0,1,0,48.0,0.0,0.0,0.0,0.0,0.0,Zhao 2017,,33.35% Cingulate_Ant_L; 30.84% Cingulate_Mid_L; 16.55% Frontal_Sup_Medial_L; 12.02% Supp_Motor_Area_L; 7.24% no_label,54.69% Background; 18.19% Brodmann_area_32; 15.73% Brodmann_area_24; 6.04% Brodmann_area_8
