publication,title,doi,n,nDyads,nFem,nMale,ageMean,ageSD,area,task,contrast,waveLen,samplRate,Hb,FqBand,coordinate source,probe,array,channelPaper,sync,x,y,z,reconstrQuality,selected
Cheng 2019,Coordination Elicits Synchronous Brain Activity Between Co-actors: Frequency Ratio Matters,10.3389/fnins.2019.01071,62,31,47,15,21.39,2.36,cooperation,joint drawing task (joint controlling of brush),ISC during interpersonal coordination > rest,NA,10,HBO,0.08 - 0.31,VirtReg ,frontRL,2x5,7,1,2.1,68,9.1,NA,1
Cheng 2019,Coordination Elicits Synchronous Brain Activity Between Co-actors: Frequency Ratio Matters,10.3389/fnins.2019.01071,62,31,47,15,21.39,2.36,cooperation,joint drawing task (joint controlling of brush),ISC during interpersonal coordination > rest,NA,10,HBO,0.08 - 0.31,VirtReg ,frontRL,2x5,8,1,26.9,68,8.5,NA,1
Cheng 2019,Coordination Elicits Synchronous Brain Activity Between Co-actors: Frequency Ratio Matters,10.3389/fnins.2019.01071,62,31,47,15,21.39,2.36,cooperation,joint drawing task (joint controlling of brush),ISC during interpersonal coordination > rest,NA,10,HBO,0.08 - 0.31,VirtReg ,frontRL,2x5,9,0,46.7,53.1,1.7,NA,1
Cheng 2019,Coordination Elicits Synchronous Brain Activity Between Co-actors: Frequency Ratio Matters,10.3389/fnins.2019.01071,62,31,47,15,21.39,2.36,cooperation,joint drawing task (joint controlling of brush),ISC during interpersonal coordination > rest,NA,10,HBO,0.08 - 0.31,VirtReg ,frontRL,2x5,10,0,-35.3,57.9,18.7,NA,1
Cheng 2019,Coordination Elicits Synchronous Brain Activity Between Co-actors: Frequency Ratio Matters,10.3389/fnins.2019.01071,62,31,47,15,21.39,2.36,cooperation,joint drawing task (joint controlling of brush),ISC during interpersonal coordination > rest,NA,10,HBO,0.08 - 0.31,VirtReg ,frontRL,2x5,11,0,-12.7,66.8,21.6,NA,1
Cheng 2019,Coordination Elicits Synchronous Brain Activity Between Co-actors: Frequency Ratio Matters,10.3389/fnins.2019.01071,62,31,47,15,21.39,2.36,cooperation,joint drawing task (joint controlling of brush),ISC during interpersonal coordination > rest,NA,10,HBO,0.08 - 0.31,VirtReg ,frontRL,2x5,12,0,14.5,68,22.8,NA,1
Cheng 2019,Coordination Elicits Synchronous Brain Activity Between Co-actors: Frequency Ratio Matters,10.3389/fnins.2019.01071,62,31,47,15,21.39,2.36,cooperation,joint drawing task (joint controlling of brush),ISC during interpersonal coordination > rest,NA,10,HBO,0.08 - 0.31,VirtReg ,frontRL,2x5,13,0,37.7,58.5,18.5,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,1,0,-35.9,62.6,-7.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,2,0,-12.9,71.5,3.9,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,3,0,15,71.1,-3.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,4,0,38.2,63,-7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,5,0,-45.4,52.6,1.1,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,6,0,-24.4,67.9,8.5,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,7,0,2.1,68,9.1,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,8,0,26.9,68,8.5,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,9,0,46.7,53.1,1.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,10,0,-35.3,57.9,18.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,11,0,-12.7,66.8,21.6,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,12,0,14.5,68,22.8,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,13,0,37.7,58.5,18.5,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,14,0,-45,41.7,27.4,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,15,0,-23.4,56.2,32.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,16,0,1.5,59.2,34.1,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,17,0,25.7,57,32.9,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,18,0,47.1,41.6,27.8,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,19,0,-34.5,40.2,41.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,20,0,-11.2,50.4,45.4,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,21,0,13.1,50.4,45.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,VirtReg,frontRL,3x5,22,0,36.2,39.8,42.1,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,23,0,73,-28.3,9.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,24,0,68,-54.3,5.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,25,0,49.3,-83.7,-8.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,26,0,70,-13.3,27.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,27,0,69.7,-43,22.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,28,0,57,-72.7,14.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,29,0,37.3,-96,1.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,30,0,69,-28,39,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,31,0,63,-56.3,34.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,32,0,47.7,-82.3,23.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,33,0,63,-15,47,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,34,0,63,-41.3,49.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,35,0,52,-71.7,38.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,36,0,31.7,-92.7,25.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,37,0,56.7,-24.7,57.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,38,1,50.7,-55.3,56.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,39,0,33.7,-81.7,45.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,40,0,46,-10,64,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,41,0,44.7,-36.7,67,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,42,0,30.7,-63.7,66.7,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,43,0,15.3,-82.7,52.3,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,44,0,31.7,-18.3,74,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,45,0,24.7,-48.7,75,NA,1
Cheng 2021,Integration of social status and trust through interpersonal brain synchronization,10.1016/j.neuroimage.2021.118777,198,99,198,0,21.05,2.47,cooperation,"repeated trust game with subject's ""social status"" determined by math task",ISC during trust interaction > rest,NA,10,HbO,0.01 - 0.05,Wang 2019,tempparR,4x4,46,0,10.3,-71.7,66,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,1,0,-35.9,62.6,-7.3,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,2,0,-12.9,71.5,3.9,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,3,0,15,71.1,-3.3,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,4,0,38.2,63,-7,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,5,0,-45.4,52.6,1.1,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,6,0,-24.4,67.9,8.5,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,7,0,2.1,68,9.1,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,8,0,26.9,68,8.5,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,9,0,46.7,53.1,1.7,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,10,0,-35.3,57.9,18.7,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,11,0,-12.7,66.8,21.6,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,12,0,14.5,68,22.8,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,13,0,37.7,58.5,18.5,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,14,0,-45,41.7,27.4,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,15,0,-23.4,56.2,32.7,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,16,0,1.5,59.2,34.1,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,17,1,25.7,57,32.9,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,18,0,47.1,41.6,27.8,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,19,0,-34.5,40.2,41.7,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,20,0,-11.2,50.4,45.4,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,21,0,13.1,50.4,45.7,NA,1
Cui 2012,NIRS-based hyperscanning reveals increased interpersonal coherence in superior frontal cortex during cooperation,10.1016/j.neuroimage.2011.09.003,22,11,12,10,26,6,coop/comp,synchronize button press,ISC synchronize > press faster/ rest ,NA,10,HbO,0.08 - 0.3,VirtReg,frontRL,3x5,22,0,36.2,39.8,42.1,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,1,0,13.1,50.4,45.7,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,2,0,-11.2,50.4,45.4,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,3,0,25.7,57,32.9,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,4,0,1.5,59.2,34.1,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,5,0,-23.4,56.2,32.7,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,6,0,14.5,68,22.8,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,7,0,-12.7,66.8,21.6,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,8,0,26.9,68,8.5,NA,1
Duan 2020 1,Is the creativity of lovers better? A behavioral and functional near-infrared spectroscopy hyperscanning study,10.1007/s12144-020-01093-5,40,20,20,20,20.3,0.84,cooperation,"realistic presented problem, lovers dyads",ISC during problem solving in lovers > rest,NA,10,HbO,0.08 - 0.31,Wang 2019,frontRL,3x3,9,0,2.1,68,9.1,NA,1
